Journal,ISSN,CN,Publisher,Frequency,Language,Founded,Discipline,SubDiscipline,IF_Composite,IF_Comprehensive,CSCD_Core,CSCD_Extended,PKU_Core,CSSCI,CSSCI_Extended,AMI_Authority,AMI_Core,AMI_Extended,AMI_Archive,SCI_Indexed,EI_Indexed,CSTPCD,Index_Labels
原子与分子物理学报,1000-0364,51-1199/O4,四川大学;四川省物理学会,双月,中文,1986.0,基础科学,物理学,0.462,0.341,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
陕西地质,1001-6996,61-1150/P,陕西地矿集团有限公司,半年,中文,1983.0,基础科学,地质学,0.509,0.382,,,,,,,,,,,,,
海洋石油,1008-2336,31-1760/TE,中国石油化工股份有限公司上海海洋油气分公司,季刊,中文,1981.0,工程科技I;基础科学,地质学;石油天然气工业,0.51,0.49,False,False,False,False,False,False,False,False,False,False,False,False,
科技智囊,1006-3676,11-3538/G3,北京市科学技术研究院,月刊,中文,1995.0,基础科学,基础科学综合,0.513,0.272,False,False,False,False,False,False,False,False,True,False,False,False,
江苏师范大学学报(自然科学版),2095-4298,32-1834/N,江苏师范大学,季刊,中文,1983.0,基础科学,基础科学综合,0.513,0.361,False,False,False,False,False,False,False,False,False,False,False,False,
安徽地质,1005-6157,34-1111/P,安徽省地质学会,季刊,中文,1991.0,基础科学,地质学,0.516,0.425,,,,,,,,,,,,,
Asian Herpetological Research,2095-0357,51-1735/Q,中国科学院成都生物研究所;中国科技出版传媒股份有限公司,季刊,英文,2010.0,基础科学,生物学,0.521,0.411,True,False,False,False,False,False,False,False,False,True,False,False,SCI; CSCD
兰州文理学院学报(自然科学版),2095-6991,62-1212/N,兰州文理学院,双月,中文,1985.0,基础科学,基础科学综合,0.523,0.26,False,False,False,False,False,False,False,False,False,False,False,False,
海南热带海洋学院学报,2096-3122,46-1085/G4,海南热带海洋学院,双月,中文,1994.0,基础科学,基础科学综合,0.523,0.394,False,False,False,False,False,False,False,False,True,False,False,False,
Research in Astronomy and Astrophysics,1674-4527,11-5721/P,中国科学院国家天文台;中国天文学会,月刊,英文,1981.0,基础科学,天文学,0.525,0.462,True,False,False,False,False,False,False,False,False,True,False,False,SCI; CSCD
内蒙古民族大学学报(自然科学版),1671-0185,15-1220/N,内蒙古民族大学,双月,中文,1979.0,基础科学,基础科学综合,0.526,0.402,,,,,,,,,,,,,
大学数学,1672-1454,34-1221/O1,教育部高校数学与统计学教学指导委员会;合肥工业大学,双月,中文,1984.0,社会科学II;基础科学,数学;高等教育,0.528,0.494,False,False,False,False,False,False,False,False,False,False,False,False,
上海师范大学学报(自然科学版),1000-5137,31-1416/N,上海师范大学,双月,中文,1958.0,基础科学,基础科学综合,0.531,0.291,,,,,,,,,,,,,
Journal of Oceanology and Limnology,2096-5508,37-1518/P,中国海洋湖沼学会,双月,英文,1982.0,基础科学,海洋学,0.534,0.388,True,False,False,False,False,False,False,False,False,True,False,False,SCI; CSCD
Theoretical and Applied Mechanics Letters,2095-0349,11-5991/O3,中国科学院力学研究所;中国力学学会,双月,英文,2011.0,基础科学,力学,0.535,0.43,True,False,False,False,False,False,False,False,False,False,False,False,CSCD
延边大学学报(自然科学版),1004-4353,22-1191/N,延边大学,季刊,中文,1962.0,基础科学,基础科学综合,0.541,0.338,False,False,False,False,False,False,False,False,False,False,False,False,
Journal of Systems Science and Information,1478-9906,10-1192/N,中国系统工程学会;中国科技出版传媒股份有限公司,双月,英文,2013.0,信息科技;基础科学,非线性科学与系统科学;计算机软件及计算机应用,0.541,0.338,True,False,False,False,False,False,False,False,False,False,False,False,CSCD
内蒙古师范大学学报(自然科学汉文版),1001-8735,15-1049/N,内蒙古师范大学,双月,中文,1959.0,基础科学,基础科学综合,0.544,0.327,False,False,False,False,False,False,False,False,False,False,False,False,
南宁师范大学学报(自然科学版),2096-7330,45-1408/N,南宁师范大学,季刊,中文,1983.0,基础科学,基础科学综合,0.544,0.288,,,,,,,,,,,,,
大学物理实验,1007-2934,22-1228/O4,吉林化工学院,双月,中文,1987.0,基础科学,物理学,0.544,0.486,False,False,False,False,False,False,False,False,False,False,False,False,
测绘标准化,1674-3792,61-1275/P,自然资源部测绘标准化研究所,季刊,中文,1985.0,基础科学,自然地理学和测绘学,0.545,0.455,,,,,,,,,,,,,
矿山测量,1001-358X,10-1770/TD,煤炭科学研究总院,双月,中文,1973.0,工程科技I;基础科学,自然地理学和测绘学;矿业工程,0.546,0.403,False,False,False,False,False,False,False,False,False,False,False,False,
广州大学学报(自然科学版),1671-4229,44-1546/N,广州大学,双月,中文,2002.0,基础科学,基础科学综合,0.462,0.264,False,False,False,False,False,False,False,False,False,False,False,False,
中国科学技术大学学报,0253-2778,34-1054/N,中国科学技术大学,月刊,中文,1965.0,基础科学,基础科学综合,0.463,0.247,False,True,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD扩展版
设计艺术研究,2095-0705,42-1807/J,武汉理工大学,双月,中文,2011.0,社会科学II;基础科学,基础科学综合;高等教育,0.466,0.233,False,False,False,False,False,False,True,False,False,False,False,False,
淮北师范大学学报(自然科学版),2095-0691,34-1316/N,淮北师范大学,季刊,中文,1979.0,基础科学,基础科学综合,0.466,0.198,False,False,False,False,False,False,False,False,False,False,False,False,
青海师范大学学报(自然科学版),1001-7542,63-1017/N,青海师范大学,季刊,中文,1979.0,基础科学,基础科学综合,0.476,0.194,,,,,,,,,,,,,
天文学报,0001-5245,32-1113/P,中国天文学会;中国科学院紫金山天文台,双月,中文,1953.0,基础科学,天文学,0.485,0.331,True,False,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD
今日科苑,1671-4342,11-4764/N,中国科协创新战略研究院;中国老科学技术工作者协会,月刊,中文,1997.0,基础科学,基础科学综合,0.485,0.351,,,,,,,,,,,,,
海南师范大学学报(自然科学版),1674-4942,46-1075/N,海南师范大学,季刊,中文,1987.0,基础科学,基础科学综合,0.485,0.341,False,False,False,False,False,False,False,False,False,False,False,False,
城市与减灾,1671-0495,11-4652/P,北京市地震局,双月,中文,1998.0,基础科学,地质学,0.487,0.333,,,,,,,,,,,,,
学会,1001-9596,35-1127/G3,福建省科学技术协会;中国科协学会服务中心,月刊,中文,1982.0,经济与管理科学;基础科学,基础科学综合;科学研究管理,0.49,0.208,,,,,,,,,,,,,
气象灾害防御,2095-9656,22-1412/P,吉林省气象科学研究所,季刊,中文,1994.0,基础科学,气象学,0.493,0.48,,,,,,,,,,,,,
湖北师范大学学报(自然科学版),2096-3149,42-1891/N,湖北师范大学,季刊,中文,1982.0,基础科学,基础科学综合,0.493,0.243,,,,,,,,,,,,,
宁德师范学院学报(自然科学版),2095-2481,35-1311/N,宁德师范学院,季刊,中文,1982.0,基础科学,基础科学综合,0.497,0.293,,,,,,,,,,,,,
全球变化数据学报(中英文),2096-3645,10-1493/P,中国科学院地理科学与资源研究所;中国地理学会,季刊,中文;英文,,基础科学,自然地理学和测绘学,0.5,0.362,False,True,False,False,False,False,False,False,False,False,False,False,CSCD扩展版
渤海大学学报(自然科学版),1673-0569,21-1514/N,渤海大学,季刊,中文,1980.0,基础科学,基础科学综合,0.5,0.444,False,False,False,False,False,False,False,False,False,False,False,False,
青海科技,1005-9393,63-1034/G3,青海省科学技术厅,双月,中文,1994.0,基础科学,基础科学综合,0.504,0.357,,,,,,,,,,,,,
物探化探计算技术,1001-1749,51-1242/P,成都理工大学;中国地质科学院地球物理地球化学勘查研究所,双月,中文,1979.0,基础科学,地球物理学;地质学,0.505,0.38,False,False,False,False,False,False,False,False,False,False,False,False,
应用概率统计,1001-4268,31-1256/O1,中国数学会概率统计学会,双月,中文;英文,1985.0,基础科学,数学,0.506,0.253,False,True,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD扩展版
现代测绘,1672-4097,32-1694/P,江苏省测绘地理信息学会;江苏省测绘地理信息行业协会;江苏省测绘科技信息站,双月,中文,1978.0,基础科学,自然地理学和测绘学,0.508,0.39,False,False,False,False,False,False,False,False,False,False,False,False,
海洋技术学报,1003-2029,12-1435/P,国家海洋技术中心;中国海洋学会,双月,中文,1982.0,基础科学,海洋学,0.508,0.409,,,,,,,,,,,,,
综合竞争力,1674-7488,35-1303/C,管理世界杂志社;福建省人民政府发展研究中心,双月,中文,2009.0,经济与管理科学,经济体制改革,,,,,,,,,,,,,,,
珠江经济,1006-6276,44-1406/F,广州市社会科学院,月刊,中文,1989.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
中国自行车,1000-999X,31-1548/TS,全国自行车工业信息中心;中国自行车协会;上海市自行车行业协会,双月,中文,1987.0,经济与管理科学;工程科技II,公路与水路运输;工业经济,,,,,,,,,,,,,,,
中国信息化,1672-5158,11-5119/TP,电子工业出版社有限公司,月刊,中文,2004.0,经济与管理科学,工业经济,,,,,,,,,,,,,,,
中国新时代,1671-8399,11-4640/F,中国对外服务工作行业协会;北京外企服务集团有限责任公司,月刊,中文,1995.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
中国橡胶,1009-5640,11-3674/TQ,中国橡胶工业协会,月刊,中文,1984.0,经济与管理科学;工程科技I,有机化工;工业经济,,,,,,,,,,,,,,,
中国物业管理,1671-0991,11-4669/TU,中国物业管理协会,月刊,中文,2001.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
中国文化与管理,,,南京大学管理学院,半年,中文,2019.0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,
中国外资,1004-8146,11-3073/F,商务部国际贸易经济合作研究院,半月,中文,1992.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
中国投资(中英文),2096-6571,10-1592/F,国家发展和改革委员会投资研究所;中国国际工程咨询有限公司,半月,中文,1985.0,经济与管理科学,投资,,,,,,,,,,,,,,,
中国石油石化,1671-7708,11-4853/Z,中国企业改革与发展研究会,半月,中文,1998.0,经济与管理科学;工程科技I,石油天然气工业;工业经济,,,,,,,,,,,,,,,
中国石油和化工标准与质量,1673-4076,11-5385/TQ,中国化工信息中心,半月,中文,1981.0,经济与管理科学;工程科技I,有机化工;宏观经济管理与可持续发展,,,,,,,,,,,,,,,
中国石油和化工(企业版),1008-1852,11-3958/D,中国石油和化工协会,月刊,中文,1994.0,经济与管理科学,企业经济,,,,,,,,,,,,,,,
中国石油和化工,1008-1852,11-3958/D,中国石油和化学工业联合会,月刊,中文,1994.0,经济与管理科学,工业经济,,,False,False,False,False,False,False,False,False,False,False,False,False,
中国食品工业,1006-6195,11-3632/TS,中国食品工业协会,半月,中文,1986.0,经济与管理科学;工程科技I,轻工业手工业;工业经济,,,,,,,,,,,,,,,
中国石化,1005-457X,11-3425/F,中国石化报社,月刊,中文,1984.0,经济与管理科学;工程科技I,石油天然气工业;工业经济,,,,,,,,,,,,,,,
中国审计信息与方法,1005-197X,11-2147/F,审计署审计科研所,月刊,中文,1994.0,经济与管理科学,审计,,,,,,,,,,,,,,,
中国审计评论,,,南京审计大学国家审计研究院;中国审计学会审计教育分会,半年,中文,2014.0,,,,,,,,,,,,,,,,,
中国审计,1002-5049,11-1241/F,中华人民共和国审计署,半月,中文,1983.0,经济与管理科学,审计,,,,,,,,,,,,,,,
中国商人,1005-5266,11-3444/G4,中国商报社,月刊,中文,1992.0,,,,,,,,,,,,,,,,,
中国商界(下半月),1006-7833,11-3654/F,《中国商报》新闻出版总社,月刊,中文,2008.0,经济与管理科学;工程科技II,综合科技B类综合;经济与管理综合,,,,,,,,,,,,,,,
中国商界,1006-7833,11-3654/F,中国商报社,月刊,中文,1995.0,经济与管理科学,贸易经济,,,,,,,,,,,,,,,
中国人民银行文告,1671-8518,11-4159/F,中国人民银行,半月,中文,2001.0,,,,,,,,,,,,,,,,,
中国企业家,1003-5087,11-1269/F,经济日报社,月刊,中文,1985.0,经济与管理科学,企业经济,,,,,,,,,,,,,,,
中国中小企业,1005-8400,11-3465/F,中国中小企业国际合作协会,月刊,中文,1994.0,经济与管理科学,企业经济,,,,,,,,,,,,,,,
中国制衣,1673-1425,11-5346/TS,中国纺织信息中心,月刊,中文,2005.0,经济与管理科学,工业经济,,,,,,,,,,,,,,,
中国质量与品牌,1672-7509,11-5168/T,国家质量监督检验检疫总局,月刊,中文,2004.0,经济与管理科学,工业经济,,,,,,,,,,,,,,,
中国质量万里行,1005-149X,11-3114/F,中国质量报刊社,月刊,中文,1993.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
中国质量监管,2096-8892,10-1685/F2,中国质量报刊社,月刊,中文,1979.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
中国制度变迁的案例研究,,,北京天则经济研究所,年刊,中文,2002.0,,,,,,,,,,,,,,,,,
中国证券监督管理委员会公告,,11-4151/D,中国证券监督管理委员会办公厅,月刊,中文,1999.0,,,,,,,,,,,,,,,,,
中国招标,1004-2415,11-2868/F,中国机电设备招标中心(工业和信息化部政府采购中心),月刊,中文,1992.0,经济与管理科学,工业经济,,,,,,,,,,,,,,,
中国战略新兴产业,2095-6657,10-1156/F,中国经济导报社,周刊,中文,2013.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
中国远洋海运,2096-3890,31-2140/U,中国远洋海运集团有限公司,月刊,中文,1995.0,经济与管理科学;工程科技II,公路与水路运输;交通运输经济,,,,,,,,,,,,,,,
中国邮政,1002-2287,11-2685/TN,中国邮政集团公司,月刊,中文,1976.0,经济与管理科学,信息经济与邮政经济,,,,,,,,,,,,,,,
中国有色金属,1673-3894,11-5407/TG,中国有色金属工业协会,半月,中文,1983.0,经济与管理科学;工程科技I,冶金工业;工业经济,,,,,,,,,,,,,,,
中国医药技术经济与管理,2077-396X,11-5598/R,科技部中国科学技术信息研究所,双月,中文,2007.0,经济与管理科学,工业经济,,,,,,,,,,,,,,,
中国印刷物资商情,1007-516X,11-3836/F,中国印刷物资总公司,月刊,中文,1997.0,经济与管理科学;工程科技I,轻工业手工业;工业经济,,,,,,,,,,,,,,,
中国印刷,1000-663X,11-1701/TS,中国印刷技术协会,双月,中文,1938.0,经济与管理科学;工程科技I,轻工业手工业;工业经济,,,,,,,,,,,,,,,
中国银行业,2095-6789,10-1167/F,中国银行业协会,月刊,中文,2013.0,经济与管理科学,金融,,,,,,,,,,,,,,,
中国药店,1009-5012,11-4476/R,中国整形美容协会,月刊,中文,2000.0,经济与管理科学,贸易经济,,,,,,,,,,,,,,,
中国盐业,1004-9169,11-3185/D,中国盐业集团有限公司;中国盐业协会,半月,中文,1991.0,经济与管理科学,工业经济,,,,,,,,,,,,,,,
中国畜牧业,2095-2473,10-1016/S,全国畜牧总站,半月,中文,1992.0,经济与管理科学;农业科技,畜牧与动物医学;农业经济,,,,,,,,,,,,,,,
中国信用卡,1009-2056,11-4409/TP,中国金融电脑杂志社,月刊,中文,1994.0,经济与管理科学,金融,,,,,,,,,,,,,,,
珠海潮,,,珠海市社会科学界联合会,季刊,中文,2018.0,,,,,,,,,,,,,,,,,
注册税务师,2095-1051,11-5957/F,中国注册税务师协会,月刊,中文,2010.0,经济与管理科学,财政与税收,,,,,,,,,,,,,,,
专利代理,2096-0549,10-1332/TB,中华全国专利代理师协会;中国知识产权报社,季刊,中文,2015.0,经济与管理科学;社会科学I,民商法;科学研究管理,,,False,False,False,False,False,False,False,False,True,False,False,False,
装备制造,1674-1447,11-5657/TH,中国工业报,月刊,中文,2007.0,经济与管理科学,工业经济,,,,,,,,,,,,,,,
走向世界,2096-837X,37-1238/Z,山东省人民政府新闻办公室,周刊,中文,1988.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
种子经销商,1002-4433,11-1097/S,中国农业出版社,月刊,中文,2007.0,经济与管理科学,贸易经济,,,,,,,,,,,,,,,
中小企业管理与科技(中旬刊),1673-1069,13-1355/F,河北省中小企业服务中心,月刊,中文,1995.0,经济与管理科学,企业经济,,,,,,,,,,,,,,,
中小企业管理与科技(下旬刊),1673-1069,13-1355/F,河北省中小企业服务中心,月刊,中文,2008.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
中文信息(网吧世界),1003-9082,51-1269/TP,电脑商情报社;四川电脑推广协会,月刊,中文,1999.0,经济与管理科学,信息经济与邮政经济,,,,,,,,,,,,,,,
中外食品,1671-8895,11-4823/TS,中国食品工业(集团)公司;中国食品科学技术学会,月刊,中文,1994.0,经济与管理科学;工程科技I,轻工业手工业;工业经济,,,,,,,,,,,,,,,
中外企业家,1000-8772,23-1025/F,黑龙江人民出版社有限公司,旬刊,中文,1984.0,经济与管理科学,企业经济,,,,,,,,,,,,,,,
中外企业文化,1006-6462,11-3656/G0,北京商报社,月刊,中文,1995.0,经济与管理科学,企业经济,,,,,,,,,,,,,,,
中外科技信息,,11-3869,中国科学院文献情报中心,月刊,中文,1979.0,经济与管理科学,科学研究管理,,,,,,,,,,,,,,,
中外管理,1002-6525,11-2812/C,中国管理现代化研究会;中国工业经济联合会;中国中小企业国际合作协会;北京中外企业管理培训中心,月刊,中文,1991.0,经济与管理科学,企业经济,,,,,,,,,,,,,,,
中外房地产导报,1004-9053,44-1346/F,深圳市规划与国土资源局,月刊,中文,1989.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
中华人民共和国海关总署文告,,11-4930/D,中华人民共和国海关总署,月刊,中文,2002.0,,,,,,,,,,,,,,,,,
中华人民共和国财政部文告,,11-4464/D,中华人民共和国财政部,月刊,中文,2000.0,,,,,,,,,,,,,,,,,
中华环境,2095-7033,10-1197/X,中华环保联合会;中国环境出版集团有限公司,月刊,中文,2014.0,,,,,,,,,,,,,,,,,
中国-东盟研究,,,中国-东盟区域发展省部共建协同创新中心,季刊,中文,2017.0,,,,,,,,,,,,,,,,,
资源导刊,1674-053X,41-1389/D,河南省地质博物馆,月刊,中文,1971.0,经济与管理科学;基础科学,资源科学;农业经济,,,,,,,,,,,,,,,
紫禁城,1003-0328,11-1203/G2,故宫博物院,月刊,中文,1980.0,经济与管理科学;哲学与人文科学,考古;旅游,,,,,,,,,,,,,,,
《资本论》研究,,,陕西省《资本论》研究会,年刊,中文,2005.0,,,,,,,,,,,,,,,,,
资本市场,1008-066X,11-3895/F,北京首都创业集团,月刊,中文,1989.0,经济与管理科学,金融,,,,,,,,,,,,,,,
住宅与房地产,1006-6012,44-1403/F,深圳住宅与房地产杂志社;中国房地产及住宅研究会,旬刊,中文,1995.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
中国禽业导刊,1008-0619,32-1489/S,江苏省家禽科学研究所;中国农业科学院家禽研究所,月刊,中文,1985.0,经济与管理科学;农业科技,畜牧与动物医学;农业经济,,,,,,,,,,,,,,,
中国科技投资,1673-5811,11-5441/N,中国信息协会,旬刊,中文,2002.0,经济与管理科学,投资,,,,,,,,,,,,,,,
中国黄金珠宝,1009-6841,11-4559/G0,北京黄金经济发展研究中心,月刊,中文,1991.0,经济与管理科学;工程科技I,轻工业手工业;工业经济,,,,,,,,,,,,,,,
中国纺织经济,1006-5172,11-3630/F,中国纺织工业协会,月刊,中文,1985.0,经济与管理科学;工程科技I,轻工业手工业;工业经济,,,,,,,,,,,,,,,
中国纺织,0529-6013,11-4616/D,中国纺织工业联合会,月刊,中文,1950.0,经济与管理科学;工程科技I,轻工业手工业;工业经济,,,,,,,,,,,,,,,
中国房地产金融,1006-7388,11-3651/F,中国房地产业协会,月刊,中文,1994.0,经济与管理科学,宏观经济管理与可持续发展,,,False,False,False,False,False,False,False,True,False,False,False,False,
中国房地产业,1002-8536,11-5936/F,中国房地产业协会;北京首开天鸿集团有限公司,旬刊,中文,1986.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
中国对外贸易,1000-954X,11-1019/F,中国贸易报社,月刊,中文,1956.0,经济与管理科学,贸易经济,,,,,,,,,,,,,,,
中国对外经济贸易文告,,11-4893/D,对外贸易经济合作部办公厅,周刊,中文,1993.0,,,,,,,,,,,,,,,,,
中国地产市场,1006-7078,11-3646/F,中国国土资源报社,月刊,中文,1994.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
中国电子商务,1009-4067,11-4440/F,中国电子企业协会;中国电子器材公司,月刊,中文,2000.0,经济与管理科学,信息经济与邮政经济,,,,,,,,,,,,,,,
中国电子商情(通信市场),1006-6675,11-3648/F,中国电子器材总公司,双月,中文,2003.0,经济与管理科学,信息经济与邮政经济,,,,,,,,,,,,,,,
中国电业,1002-1140,11-1375/TM,中国电力传媒集团有限公司;中电传媒股份有限公司,月刊,中文,1950.0,经济与管理科学,工业经济,,,,,,,,,,,,,,,
中国电信业,1671-3060,11-4524/TN,中国通信学会;人民邮电报社,月刊,中文,2000.0,经济与管理科学,信息经济与邮政经济,,,,,,,,,,,,,,,
中国.城乡桥,1002-7025,11-5413/S,农业部乡镇企业发展中心,月刊,中文,1988.0,经济与管理科学,农业经济,,,,,,,,,,,,,,,
中国城市经济,1008-9721,11-4085/F,中国城市经济学会,旬刊,中文,1998.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
中国城墙,,,中国城墙研究院;中国明清城墙联合申报世界文化遗产办公室;南京城墙保护管理中心;南京大学文化与自然遗产研究所,年刊,中文,2017.0,,,,,,,,,,,,,,,,,
中国财经审计法规公报,1009-2315,11-4119/D,审计署,半月,中文,2000.0,,,,,,,,,,,,,,,,,
中国采购调查报告与供应链最佳实践案例汇编,,,中国物流与采购联合会;中国物流学会,年刊,中文,2008.0,,,,,,,,,,,,,,,,,
中国包装工业,1006-4621,11-3180/D,中国包装工业杂志社,半月,中文,1992.0,经济与管理科学;工程科技II,工业通用技术及设备;工业经济,,,,,,,,,,,,,,,
中国报道,1009-9344,11-4566/F,中国外文局亚太传播中心（人民中国杂志社;中国报道杂志社）,月刊,中文,2001.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
中国安防产品信息,1007-4058,11-3549/TU,中国安全防范产品行业协会;公安部科学技术信息研究所,双月,中文,1993.0,经济与管理科学;工程科技I,安全科学与灾害防治;企业经济,,,,,,,,,,,,,,,
中关村,1672-0466,11-4875/D,北京市海淀区融媒体中心,月刊,中文,2003.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
中船重工,1671-9360,11-4760/U,中国船舶重工集团公司,双月,中文,2001.0,经济与管理科学;工程科技II,船舶工业;工业经济,,,,,,,,,,,,,,,
中国合作经济评论,,,中国人民大学中国合作社研究;中国合作经济学会;中国农村合作经济管理学会,半年,中文,2017.0,,,,,,,,,,,,,,,,,
中国核工业,1007-8282,11-3881/D,中核(北京)传媒文化有限公司,月刊,中文,1989.0,经济与管理科学;工程科技II,核科学技术;工业经济,,,,,,,,,,,,,,,
中国航务周刊,1006-2149,11-4150/F,中国交通运输协会,周刊,中文,1993.0,经济与管理科学,交通运输经济,,,,,,,,,,,,,,,
中国海洋经济评论,,,中国海洋大学经济学院海洋经济研究中心;中国海洋大学海洋发展研究院海洋经济研究所,年刊,中文,2007.0,,,,,,,,,,,,,,,,,
中国海洋经济,,,山东社会科学院,半年,中文,2016.0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,
中国海关,1001-0637,11-2553/Z,中国海关传媒中心,月刊,中文,1989.0,经济与管理科学,贸易经济,,,,,,,,,,,,,,,
中国国际财经(中英文),2096-2762,10-1438/F,国际商报社,半月,中文;英文,2008.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
中国管理信息化(会计版),1673-0194,22-1359/TP,吉林科学技术出版社,月刊,中文,1998.0,经济与管理科学,管理学,,,,,,,,,,,,,,,
中国管理会计,2096-420X,10-1505/F,中国总会计师协会;经济科学出版社,季刊,中文,2017.0,经济与管理科学,会计,,,False,False,False,False,False,False,False,False,False,False,False,False,
中国供销商情.乳业导刊,1008-7443,11-3966/F,中华全国供销合作总社信息中心,月刊,中文,2003.0,经济与管理科学;工程科技I,轻工业手工业;工业经济,,,,,,,,,,,,,,,
中国供销商情.村官,1008-7443,11-3966/F,中华全国供销合作总社信息中心,月刊,中文,2002.0,经济与管理科学,贸易经济,,,,,,,,,,,,,,,
中国工商,1002-9699,11-1012/F,中华全国工商业联合会,月刊,中文,1988.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
中国公路,1006-3897,11-3597/F,中国公路学会,半月,中文,1994.0,经济与管理科学;工程科技II,公路与水路运输;交通运输经济,,,,,,,,,,,,,,,
中国工会财会,1004-6488,11-3107/F,中国工会会计学会;中国职工发展基金,月刊,中文,1991.0,经济与管理科学;社会科学I,政党及群众组织;会计,,,,,,,,,,,,,,,
中国高新区,1671-4113,11-5968/N,中国高新技术产业开发区协会;科技部火炬高技术产业开发中心,半月,中文,2001.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
中国钢铁业,1672-5115,11-5016/TF,中国钢铁工业协会,月刊,中文,2003.0,经济与管理科学;工程科技I,冶金工业;工业经济,,,,,,,,,,,,,,,
中国改革(农村版),1005-2100,11-3198/F,中国经济体制改革杂志社,月刊,中文,2000.0,经济与管理科学,农业经济;经济体制改革,,,,,,,,,,,,,,,
中国改革,1005-2100,10-1307/F,中国文史出版社有限公司,双月,中文,1986.0,经济与管理科学,经济体制改革,,,,,,,,,,,,,,,
中国服饰,1007-6840,31-1988/TS,东华大学;中国纺织出版社有限公司,月刊,中文,2007.0,经济与管理科学,工业经济,,,,,,,,,,,,,,,
中国孵化器,1671-3265,31-1861/N,上海科学技术文献出版社有限公司,月刊,中文,2002.0,经济与管理科学;工程科技II,综合科技B类综合;经济与管理综合,,,,,,,,,,,,,,,
中国科技人才,2095-8951,10-1256/G3,科学技术部科技人才交流开发服务中心,双月,中文,2014.0,经济与管理科学,宏观经济管理与可持续发展,,,,,,,,,,,,,,,
中国科技奖励,1672-903X,11-3085/G3,国家科学技术奖励工作办公室,月刊,中文,1993.0,经济与管理科学;基础科学,基础科学综合;科学研究管理,,,,,,,,,,,,,,,
中国科技财富,1671-461X,11-4777/N,科技日报社,月刊,中文,1998.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
中国军转民,1008-5874,11-4014/N,中国和平利用军工技术协会,半月,中文,2000.0,经济与管理科学,工业经济,,,,,,,,,,,,,,,
中国集体经济(下半月),1008-1283,11-3946/F,中华全国手工业合作总社;中国工业合作经济学会,月刊,中文,2007.0,经济与管理科学,经济体制改革,,,,,,,,,,,,,,,
中国技术监督,1002-5960,11-2754/T,中国技术监督杂志社,月刊,中文,1991.0,经济与管理科学;工程科技II,工业通用技术及设备;宏观经济管理与可持续发展,,,,,,,,,,,,,,,
中国金融家,1672-4941,11-4799/F,金融时报社,月刊,中文,2003.0,经济与管理科学,金融,,,False,False,False,False,False,False,False,True,False,False,False,False,
中国金融学,,,清华大学公共经济;金融与治理研究中心;四川大学金融研究所;浙江大学互联网金融研究院;中国人民大学国际货币研究所,半年,中文,2003.0,,,,,,,,,,,,,,,,,
中国经济周刊,1672-7150,11-5196/F,人民日报社,双周,中文,1994.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
中国经贸导刊(中),1007-9777,11-3876/F,国家发展和改革委员会中国经贸导刊杂志社,月刊,中文,1984.0,经济与管理科学,经济与管理综合,,,,,,,,,,,,,,,
中国经贸,1009-9972,11-4582/F,中国对外经济合作企业协会,月刊,中文,1996.0,经济与管理科学,贸易经济,,,,,,,,,,,,,,,
中国经济学,,,中国社会科学院数量经济与技术经济研究所,季刊,中文,2022.0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,
中国经济学(辑刊),,,北京天则经济研究所,年刊,中文,1994.0,,,,,,,,,,,,,,,,,
中国经济特区研究,,,深圳大学中国经济特区研究中心,年刊,中文,2008.0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,
