Journal,ISSN,CN,Publisher,Frequency,Language,Founded,Discipline,SubDiscipline,IF_Composite,IF_Comprehensive,CSCD_Core,CSCD_Extended,PKU_Core,CSSCI,CSSCI_Extended,AMI_Authority,AMI_Core,AMI_Extended,AMI_Archive,SCI_Indexed,EI_Indexed,CSTPCD,Index_Labels
土木建筑工程信息技术,1674-7461,11-5823/TU,中国图学学会,双月,中文,2009.0,工程科技II,建筑科学与工程,1.307,0.704,False,False,False,False,False,False,False,False,False,False,False,False,
沈阳建筑大学学报(自然科学版),2095-1922,21-1578/TU,沈阳建筑大学,双月,中文,1979.0,工程科技II,综合科技B类综合,1.308,0.814,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
电气工程学报,2095-9524,10-1289/TM,机械工业信息研究院,季刊,中文,2006.0,工程科技II,电力工业,1.314,0.878,False,True,False,False,False,False,False,False,False,False,False,False,CSCD扩展版
含能材料,1006-9941,51-1489/TK,中国工程物理研究院,月刊,中文,1993.0,工程科技II;工程科技I,燃料化工;武器工业与军事技术,1.32,1.154,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
电气技术,1673-3800,11-5255/TM,中国电工技术学会,月刊,中文,2000.0,工程科技II,电力工业,1.331,0.998,False,False,False,False,False,False,False,False,False,False,False,False,
机床与液压,1001-3881,44-1259/TH,中国机械工程学会;广州机械科学研究院有限公司,半月,中文,1973.0,工程科技II,机械工业,1.339,0.887,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
新能源进展,2095-560X,44-1698/TK,中国科学院广州能源研究所,双月,中文,2013.0,工程科技II,新能源,1.341,0.859,True,False,False,False,False,False,False,False,False,False,False,False,CSCD
铁道工程学报,1006-2106,11-3567/U,中国铁道学会;中国铁路工程集团有限公司;中国中铁股份有限公司,月刊,中文,1984.0,工程科技II,铁路运输,1.605,1.207,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
中国农村水利水电,1007-2284,42-1419/TV,武汉大学;中国灌溉排水发展中心,月刊,中文,1959.0,工程科技II,水利水电工程,1.713,1.255,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
科学技术与工程,1671-1815,11-4688/T,中国技术经济学会,旬刊,中文,2001.0,工程科技II,综合科技B类综合,1.847,1.41,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
重庆大学学报,1000-582X,50-1044/N,重庆大学,月刊,中文,1960.0,工程科技II,综合科技B类综合,1.984,1.042,True,False,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD
长江科学院院报,1001-5485,42-1171/TV,长江水利委员会长江科学院,月刊,中文,1984.0,工程科技II,水利水电工程,1.986,1.252,True,False,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD
同济大学学报(自然科学版),0253-374X,31-1267/N,同济大学,月刊,中文,1956.0,工程科技II,综合科技B类综合,1.995,1.192,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
现代隧道技术,1009-6582,51-1600/U,中铁西南科学研究院有限公司;中国土木工程学会隧道及地下工程分会,双月,中文,1964.0,工程科技II,公路与水路运输,2.003,1.458,True,False,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD
土木工程与管理学报,2095-0985,42-1816/TU,华中科技大学,双月,中文,1983.0,工程科技II,建筑科学与工程,2.015,0.979,False,False,False,False,False,False,False,False,False,False,False,False,
南京理工大学学报,1005-9830,32-1397/N,南京理工大学,双月,中文,1977.0,工程科技II,综合科技B类综合,2.015,1.343,False,True,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD扩展版
Global Energy Interconnection,2096-5117,10-1551/TK,全球能源互联网集团有限公司,双月,英文,2018.0,工程科技II,电力工业,2.034,1.525,True,False,False,False,False,False,False,False,False,False,True,False,EI; CSCD
浙江大学学报(工学版),1008-973X,33-1245/T,浙江大学,月刊,中文,1956.0,工程科技II,综合科技B类综合,2.041,1.251,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
哈尔滨工业大学学报,0367-6234,23-1235/T,哈尔滨工业大学,月刊,中文,1954.0,工程科技II,综合科技B类综合,2.044,1.11,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
Journal of Modern Power Systems and Clean Energy,2196-5625,32-1884/TK,国网电力科学研究院南瑞集团有限公司,双月,英文,2013.0,工程科技II,电力工业,2.048,1.535,True,False,False,False,False,False,False,False,False,True,True,False,SCI; EI; CSCD
计量学报,1000-1158,11-1864/TB,中国计量测试学会,月刊,中文,1980.0,工程科技II,工业通用技术及设备,2.055,1.632,False,True,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD扩展版
重庆交通大学学报(自然科学版),1674-0696,50-1190/U,重庆交通大学,月刊,中文,1982.0,工程科技II,公路与水路运输,2.08,1.255,False,True,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD扩展版
武汉大学学报(工学版),1671-8844,42-1675/T,武汉大学,月刊,中文,1957.0,工程科技II,综合科技B类综合,2.081,1.315,True,False,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD
振动.测试与诊断,1004-6801,32-1361/V,南京航空航天大学;全国高校机械工程测试技术研究会,双月,中文,1980.0,工程科技II,工业通用技术及设备,2.092,1.2,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
北京工业大学学报,0254-0037,11-2286/T,北京工业大学,月刊,中文,1974.0,工程科技II,综合科技B类综合,2.111,1.202,True,False,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD
分布式能源,2096-2185,10-1427/TK,中国大唐集团科学技术研究总院有限公司;清华大学出版社有限公司,双月,中文,2016.0,工程科技II,电力工业,2.117,1.658,False,False,False,False,False,False,False,False,False,False,False,False,
北京交通大学学报,1673-0291,11-5258/U,北京交通大学,双月,中文,1975.0,工程科技II,综合科技B类综合,2.124,1.343,True,False,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD
南方建筑,1000-0232,44-1263/TU,广东省土木建筑学会,月刊,中文,1981.0,工程科技II,建筑科学与工程,2.125,1.279,False,True,True,False,False,False,True,False,False,False,False,False,北大核心; CSCD扩展版
应用基础与工程科学学报,1005-0930,11-3242/TB,中国自然资源学会,双月,中文,1993.0,工程科技II,综合科技B类综合,2.134,1.453,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
建筑科学与工程学报,1673-2049,61-1442/TU,长安大学,双月,中文,1984.0,工程科技II,建筑科学与工程,1.852,1.199,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
都市快轨交通,1672-6073,11-5144/U,北京交通大学;北京城建设计发展集团股份有限公司,双月,中文,1988.0,工程科技II,铁路运输,1.86,1.047,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
浙江电力,1007-1881,33-1080/TM,浙江省电力学会;浙江省电力试验研究院,月刊,中文,1979.0,工程科技II,电力工业,1.862,1.476,False,False,False,False,False,False,False,False,False,False,False,False,
北京理工大学学报,1001-0645,11-2596/T,北京理工大学,月刊,中文,1956.0,工程科技II,综合科技B类综合,1.868,1.221,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
航空兵器,1673-5048,41-1228/TJ,中国空空导弹研究院,双月,中文,1964.0,工程科技II,武器工业与军事技术,1.875,1.29,True,False,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD
湖南大学学报(自然科学版),1674-2974,43-1061/N,湖南大学,月刊,中文,1956.0,工程科技II,综合科技B类综合,1.879,1.227,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
中国测试,1674-5124,51-1714/TB,中国测试技术研究院,月刊,中文,1975.0,工程科技II,仪器仪表工业,1.891,1.458,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
